ZIPCODE,CAPACITY,DATE
90266,5.306,1/9/2019
90640,3.852,1/9/2019
91762,2.287,1/9/2019
92835,6.374,1/9/2019
93551,5.586,1/9/2019
92256,5.473,1/9/2019
92262,11.236,1/9/2019
92563,3.655,1/9/2019
92883,2.859,1/9/2019
92407,8.031,1/9/2019
92223,3.91,1/9/2019
91790,7.541,1/9/2019
92223,4.268,1/9/2019
92407,5.586,1/9/2019
92234,5.457,1/9/2019
93065,2.287,1/9/2019
93065,2.001,1/9/2019
92260,9.631,1/9/2019
92503,2.872,1/9/2019
92373,2.71,1/9/2019
92583,6.982,1/9/2019
92592,8.756,1/9/2019
92264,53.471,1/9/2019
92404,4.189,1/9/2019
92881,2.089,1/9/2019
91709,5.239,1/9/2019
92708,8.968,1/9/2019
92804,4.652,1/9/2019
92618,2.001,1/9/2019
91752,5.166,1/9/2019
92618,2.001,1/9/2019
92618,2.001,1/9/2019
91762,2.859,1/9/2019
93291,2.573,1/9/2019
93291,2.001,1/9/2019
92270,17.567,1/9/2019
92256,3.351,1/9/2019
91701,3.655,1/9/2019
92617,3.342,1/9/2019
92592,4.177,1/9/2019
92277,4.613,1/9/2019
92563,4.976,1/9/2019
92270,10.594,1/9/2019
91381,6.789,1/9/2019
90275,6.48,1/9/2019
92585,3.916,1/9/2019
93536,3.761,1/9/2019
92706,5.586,1/9/2019
93274,11.156,1/9/2019
93555,2.709,1/9/2019
93534,4.728,1/9/2019
92584,2.71,1/9/2019
90638,5.865,1/9/2019
92571,3.182,1/9/2019
93550,2.893,1/9/2019
92394,4.324,1/9/2019
93552,3.761,1/9/2019
93536,3.471,1/9/2019
90249,4.822,1/9/2019
93555,4.822,1/9/2019
92620,6.296,1/9/2019
92865,11.187,1/9/2019
92562,7.201,1/9/2019
91321,5.567,1/9/2019
92551,2.611,1/9/2019
92571,2.872,1/9/2019
92860,7.705,1/9/2019
92870,2.665,1/9/2019
92692,5.978,1/9/2019
93292,6.668,1/9/2019
92591,8.36,1/9/2019
92234,9.579,1/9/2019
91791,10.613,1/9/2019
92345,3.502,1/9/2019
92570,7.113,1/9/2019
90022,3.222,1/9/2019
92571,3.13,1/9/2019
92881,6.294,1/9/2019
92584,4.468,1/9/2019
92270,12.706,1/9/2019
92371,7.097,1/9/2019
92307,8.378,1/9/2019
90703,4.815,1/9/2019
92592,6.981,1/9/2019
92555,5.865,1/9/2019
92284,8.649,1/9/2019
92284,2.008,1/9/2019
93117,1.807,1/9/2019
93535,3.205,1/9/2019
92879,5.276,1/9/2019
92840,3.617,1/9/2019
92630,5.358,1/9/2019
92532,10.472,1/9/2019
91360,7.04,1/9/2019
93041,3.895,1/9/2019
92270,13.552,1/9/2019
90745,5.407,1/9/2019
90803,6.472,1/9/2019
92313,8.378,1/9/2019
93291,4.335,1/9/2019
91740,6.393,1/9/2019
93536,5.463,1/9/2019
92587,6.825,1/9/2019
92592,12.199,1/9/2019
92656,6.172,1/9/2019
93277,11.223,1/9/2019
93274,3.444,1/9/2019
92530,5.975,1/9/2019
92553,5.865,1/9/2019
92336,3.734,1/9/2019
91001,7.265,1/9/2019
91741,7.744,1/9/2019
93561,3.325,1/9/2019
92394,5.027,1/9/2019
92867,9.952,1/9/2019
92883,3.444,1/9/2019
92591,6.789,1/9/2019
92883,5.188,1/9/2019
92270,2.296,1/9/2019
92883,6.078,1/9/2019
93550,5.03,1/9/2019
92270,4.88,1/9/2019
92270,4.593,1/9/2019
90601,4.49,1/9/2019
92626,13.98,1/9/2019
93274,12.056,1/9/2019
92571,2.888,1/9/2019
93274,4.593,1/9/2019
92223,9.216,1/9/2019
92571,5.167,1/9/2019
92374,7.024,1/9/2019
93551,5.824,1/9/2019
93536,5.454,1/9/2019
92336,4.756,1/9/2019
92562,2.514,1/9/2019
92883,3.732,1/9/2019
90670,2.327,1/9/2019
92532,4.982,1/9/2019
91702,4.517,1/9/2019
93555,4.155,1/9/2019
93536,5.547,1/9/2019
90280,6.982,1/9/2019
93551,5.559,1/9/2019
92392,5.027,1/9/2019
92308,3.351,1/9/2019
92307,6.144,1/9/2019
92308,6.703,1/9/2019
92223,4.344,1/9/2019
92307,5.865,1/9/2019
92284,5.347,1/9/2019
92657,7.591,1/9/2019
92336,7.378,1/9/2019
92320,8.459,1/9/2019
91722,8.023,1/9/2019
92223,3.699,1/9/2019
93274,6.811,1/9/2019
91362,4.05,1/9/2019
92503,6.054,1/9/2019
92869,2.096,1/9/2019
92602,5.421,1/9/2019
93291,5.449,1/9/2019
91350,14.859,1/9/2019
92308,6.786,1/9/2019
92592,4.748,1/9/2019
92507,4.63,1/9/2019
90240,2.402,1/9/2019
92394,5.586,1/9/2019
93030,5.207,1/9/2019
92591,2.314,1/9/2019
91010,4.748,1/9/2019
93536,3.483,1/9/2019
92562,4.934,1/9/2019
92821,10.478,1/9/2019
92679,4.356,1/9/2019
90621,2.696,1/9/2019
93003,3.761,1/9/2019
92880,4.815,1/9/2019
92833,4.189,1/9/2019
92570,4.918,1/9/2019
93291,5.136,1/9/2019
93536,6.162,1/9/2019
91746,4.781,1/9/2019
93536,3.471,1/9/2019
93536,4.018,1/9/2019
91387,3.614,1/9/2019
92553,4.326,1/9/2019
91351,3.693,1/9/2019
92404,2.893,1/9/2019
92705,17.335,1/9/2019
90660,1.798,1/9/2019
93535,4.554,1/9/2019
92647,3.983,1/9/2019
92407,5.786,1/9/2019
92603,10.027,1/9/2019
93536,8.037,1/9/2019
93536,5.334,1/9/2019
90249,3.761,1/9/2019
91355,6.268,1/9/2019
93117,1.798,1/9/2019
92407,6.653,1/9/2019
92544,8.424,1/9/2019
93117,1.798,1/9/2019
90230,5.587,1/9/2019
93536,5.09,1/9/2019
92395,4.189,1/9/2019
93117,1.798,1/9/2019
92392,8.037,1/9/2019
92883,3.614,1/9/2019
92647,8.82,1/9/2019
93535,3.483,1/9/2019
92620,4.852,1/9/2019
93117,1.798,1/9/2019
91362,4.77,1/9/2019
93552,9.335,1/9/2019
92240,7.77,1/9/2019
92782,6.676,1/9/2019
92544,5.334,1/9/2019
92555,14.348,1/9/2019
92553,3.376,1/9/2019
92394,6.494,1/9/2019
92571,6.364,1/9/2019
91709,3.614,1/9/2019
93291,11.571,1/9/2019
92532,5.482,1/9/2019
93012,10.359,1/9/2019
91762,2.71,1/9/2019
93291,4.632,1/9/2019
90660,4.628,1/9/2019
91762,2.71,1/9/2019
92562,7.521,1/9/2019
92649,9.869,1/9/2019
92655,7.769,1/9/2019
92703,4.378,1/9/2019
92344,5.027,1/9/2019
93536,8.678,1/9/2019
93105,3.761,1/9/2019
92571,7.811,1/9/2019
92620,7.063,1/9/2019
91710,12.2,1/9/2019
90270,5.095,1/9/2019
91739,10.686,1/9/2019
92211,4.918,1/9/2019
92567,5.778,1/10/2019
91739,62.616,1/10/2019
92223,2.625,1/10/2019
92223,2.887,1/10/2019
92223,2.887,1/10/2019
92509,6.004,1/10/2019
91708,2.287,1/10/2019
93277,168.682,1/10/2019
92606,72.833,1/10/2019
92606,74.784,1/10/2019
90715,3.189,1/10/2019
91767,395.784,1/10/2019
91758,2.287,1/10/2019
91301,12.717,1/10/2019
92544,8.099,1/10/2019
91214,6.586,1/10/2019
91752,4.002,1/10/2019
91752,2.573,1/10/2019
92392,6.366,1/10/2019
92618,2.287,1/10/2019
92262,7.207,1/10/2019
91789,3.144,1/10/2019
92606,18.439,1/10/2019
92606,37.717,1/10/2019
92223,4.189,1/10/2019
91724,8.026,1/10/2019
92562,8.378,1/10/2019
91773,6.877,1/10/2019
92223,2.67,1/10/2019
92223,2.937,1/10/2019
92223,2.403,1/10/2019
92532,5.766,1/10/2019
92270,7.705,1/10/2019
92240,6.42,1/10/2019
92532,8.378,1/10/2019
92596,2.573,1/10/2019
92584,2.001,1/10/2019
92584,2.001,1/10/2019
92584,2.001,1/10/2019
92584,7.967,1/10/2019
92585,3.916,1/10/2019
