Zip,Latitude,Longitude
96136,40.283378,-120.12859
90633,33.640302,-117.769442
92850,33.640302,-117.769442
94042,37.189396,-121.705327
95494,38.916201,-123.26509
95335,38.119056,-120.1014
96007,40.45453,-122.31101
90029,34.090259,-118.29455
92064,32.973645,-117.03701
94083,37.381144,-122.334825
92199,32.751575,-117.191848
95502,40.814595,-124.08052
95851,38.377411,-121.444429
93638,36.991476,-119.98729
93962,36.624606,-121.64655
91607,34.165706,-118.39986
95816,38.571661,-121.46827
91345,34.264635,-118.45961
91363,33.786594,-118.298662
91804,33.786594,-118.298662
92799,33.640302,-117.769442
93042,34.113389,-119.112432
94268,38.377411,-121.444429
95053,37.189396,-121.705327
96143,39.241961,-120.02809
93239,36.015318,-120.00772
90016,34.029711,-118.35255
90044,33.953814,-118.29158
90312,33.786594,-118.298662
91311,34.259052,-118.59426
92310,35.262763,-116.69452
92314,34.255388,-116.85442
95390,37.60396,-120.937052
93630,36.722616,-120.10081
94614,37.727739,-122.204573
91740,34.119245,-117.8548
94608,37.834724,-122.28316
95202,37.958723,-121.28805
96076,40.366349,-122.94566
91611,33.786594,-118.298662
92039,33.016928,-116.846046
92140,32.74344,-117.200412
92195,33.016928,-116.846046
93461,35.636185,-120.27185
93531,35.241311,-118.59338
92887,33.883223,-117.73856
93313,35.19766,-119.05698
93628,36.780156,-118.91524
90662,33.786594,-118.298662
91911,32.608799,-117.0607
93160,34.262834,-119.848555
95625,38.35011,-121.90799
96108,41.736074,-120.3778
91526,33.786594,-118.298662
92040,32.873849,-116.90477
90421,34.010328,-118.494107
94274,38.377411,-121.444429
92120,32.794449,-117.07221
94144,37.784827,-122.727802
95109,37.189396,-121.705327
93601,37.388698,-119.72439
94140,37.784827,-122.727802
95010,36.9761,-121.95316
90806,33.801767,-118.1858
91913,32.642486,-116.98973
92263,33.761076,-116.535887
94552,37.69768,-122.02503
94621,37.753978,-122.18969
95307,37.584282,-120.95064
92046,33.016928,-116.846046
96148,39.243877,-120.05437
90403,34.032159,-118.49022
90404,34.026959,-118.47432
93778,36.746375,-119.639658
92232,33.026203,-115.284581
93227,36.357151,-119.425371
93234,36.209815,-120.0847
93529,37.765218,-119.07769
93761,36.746375,-119.639658
94931,38.328614,-122.71044
95322,37.187494,-121.03232
90038,34.089459,-118.3285
90063,34.045161,-118.1865
92709,33.640302,-117.769442
93492,35.372861,-120.859391
94175,37.784827,-122.727802
95592,38.098737,-122.271251
93701,36.749444,-119.78872
94295,38.377411,-121.444429
92693,33.555323,-117.564
93140,34.262834,-119.848555
93255,35.666835,-118.01701
93465,35.54464,-120.72428
94160,37.784827,-122.727802
94164,37.784827,-122.727802
95383,38.055888,-120.23002
95665,38.40097,-120.64952
90301,33.955913,-118.35868
92543,33.73542,-116.97401
92837,33.640302,-117.769442
95965,39.558586,-121.58923
95655,38.558073,-121.28737
91189,33.786594,-118.298662
93099,34.032383,-119.1343
90845,33.786594,-118.298662
92114,32.706954,-117.0542
95692,39.030716,-121.43497
95826,38.550098,-121.37492
93458,34.956344,-120.45243
93215,35.774967,-119.23371
94973,38.007639,-122.63914
93308,35.487491,-119.00896
93611,36.840057,-119.66107
